Time	V/V	Vw	Hct	Em	pHi	pHo	MCHC	Density	QNa	QK	QA	QCa	QMg	CNa	CK	CA	CCa2+	CMg2+	CHb	CX	COs	rA	rH	fHb	nHb	MNa	MK	MA	FNaP	FCaP	FKP	FNa	FK	FA	FH	FW	FNaG	FKG	FAG	FHG
        0.0000000000	        1.0000000000	        0.7500000000	       10.0000000000	      -11.7322637767	        7.2092261218	        7.1091203903	       34.0000000000	        1.0900000000	        7.5000000000	      105.0000000000	       71.2500000000	        0.0005800000	        2.5000000000	       10.0000000000	      140.0000000000	       95.0000000000	        0.0001120000	        0.3356412869	        7.0284237726	       44.5968084316	       19.1722808681	        1.5515789474	        1.5515789474	        2.7278208441	       -6.0122612177	      147.2505810241	        5.0000000000	      147.4000000000	       -2.6085000000	       -0.0300000000	        1.7390000000	       -0.0000000000	       -0.0000000000	        0.0000000000	        0.0000000000	        0.0000000000	        0.2608500000	       -0.1739000000	       -0.7825500000	        0.0000000000
        0.0002514063	        0.9999853923	        0.7499853923	        9.9998539231	      -12.2759785123	        7.2090936384	        7.1095752832	       34.0004966689	        1.0900013147	        7.5000001826	      104.9999999825	       71.2558513568	        0.0010405542	        2.4989732310	       10.0001950165	      140.0027267994	       95.0096523051	        0.0002014956	        0.3354204459	        7.0285606674	       44.5976770573	       19.1730653042	        1.5514119569	        0.7952096559	        2.7278793215	       -6.0109363836	      147.2503420048	        4.9999918866	      147.3991106080	       -2.5998470636	       -2.1035165452	        1.7332313757	        0.0442786210	       -0.0038115460	     1394.3403021085	     1665.1123541984	       -3.4786315120	        0.2668697610	       -0.1719920840	       -2.8731975529	        0.0000000000
        0.0133440849	        0.9993857693	        0.7493857693	        9.9938576931	      -32.8873146319	        7.2024677699	        7.1166665814	       34.0208966787	        1.0900553147	        7.5000172370	      104.9943940002	       71.5447129402	        0.0232735233	        2.4493302238	       10.0082194566	      140.1072695793	       95.4711389912	        0.0049448923	        0.3248500359	        7.0341845886	       44.6333620057	       19.2053112875	        1.5434737379	        0.8207271711	        2.7302825289	       -5.9446776989	      147.2405299122	        5.0002816548	      147.3571957593	       -2.5933572119	       -7.5803254870	        1.7289048079	        0.1632341121	     -101.2378470502	     1210.8019471391	     1535.2035377672	       -2.1051286014	        0.3809766912	     -101.3922224933	     -109.4557779423	        0.0000000000
        0.0288641518	        0.9989843709	        0.7489843709	        9.9898437094	      -69.1002526607	        7.1952870805	        7.1243242887	       34.0345664949	        1.0900914995	        7.5000988792	      104.9392464819	       71.8181449566	        0.0484730723	        2.3991211402	       10.0136921013	      140.1087266358	       95.8873746150	        0.0110906375	        0.3143650616	        7.0379543740	       44.6572820765	       19.2269477391	        1.5363883273	        0.8492532318	        2.7318943428	       -5.8728708047	      147.2339540848	        5.0061860479	      147.3202430906	       -2.5862567133	       -7.5151247384	        1.7241711422	        0.4100829625	     -276.7969149014	      954.0718818554	     1396.3200224380	       -1.1016410511	        0.6221099975	     -276.9392247068	     -284.6941167063	        0.0000000000
        0.0471791042	        0.9987683910	        0.7487683910	        9.9876839103	      -74.1854480837	        7.1876237848	        7.1324664788	       34.0419263420	        1.0901109815	        7.5002329492	      104.8495474754	       72.0907446875	        0.0765698248	        2.3501283838	       10.0167595736	      140.0293451646	       96.2790971834	        0.0185230845	        0.3043187993	        7.0399844500	       44.6701633303	       19.2386064085	        1.5297860442	        0.8807298056	        2.7327626283	       -5.7962378481	      147.2304059440	        5.0160323719	      147.2864192218	       -2.5778679396	       -7.4477701749	        1.7185786264	        0.4543376472	     -301.8447851970	      843.6066252448	     1255.4448616203	       -0.3740400674	        0.6591737293	     -301.9756842299	     -309.6233980133	        0.0000000000
        0.0692749846	        0.9987409723	        0.7487409723	        9.9874097232	      -74.7590467777	        7.1793771923	        7.1411951956	       34.0428609042	        1.0901134553	        7.5004030675	      104.7374251857	       72.3831699270	        0.1081881693	        2.3033466927	       10.0173535906	      139.8847252360	       96.6731788470	        0.0272943793	        0.2948990583	        7.0402422525	       44.6717991406	       19.2400873202	        1.5232092351	        0.9158366166	        2.7328729084	       -5.7137719231	      147.2299385018	        5.0284751269	      147.2534788076	       -2.5674222377	       -7.3791866771	        1.7116148251	        0.4679118851	     -306.0005308336	      748.5116239419	     1110.9286644033	        0.1715155856	        0.6633932961	     -306.1194645829	     -313.6909806455	        0.0000000000
        0.0960764193	        0.9989069478	        0.7489069478	        9.9890694781	      -74.7582651536	        7.1706086953	        7.1504405353	       34.0372044407	        1.0900984823	        7.5006147180	      104.6003520874	       72.6950034358	        0.1434714374	        2.2613032304	       10.0154161206	      139.6706925910	       97.0681386358	        0.0373613355	        0.2865905437	        7.0386819682	       44.6618988131	       19.2311257150	        1.5166824868	        0.9546228818	        2.7322055183	       -5.6260869533	      147.2326301832	        5.0437983666	      147.2215458987	       -2.5550805141	       -7.3125650697	        1.7033870094	        0.4792839061	     -307.4994045747	      651.2790121715	      964.7543061936	        0.5232165958	        0.6634001027	     -307.6060167099	     -315.1068166157	        0.0000000000
        0.1266641317	        0.9992202348	        0.7492202348	        9.9922023482	      -74.6435696897	        7.1619693289	        7.1595157487	       34.0265327055	        1.0900702336	        7.5008620084	      104.4433475998	       73.0020331986	        0.1800744124	        2.2288895039	       10.0115582306	      139.4027319956	       97.4373486008	        0.0479794850	        0.2803077653	        7.0357387381	       44.6432234067	       19.2142291355	        1.5106379411	        0.9943663517	        2.7309469340	       -5.5396932890	      147.2377279131	        5.0614191979	      147.1925556753	       -2.5422451339	       -7.2554740771	        1.6948300892	        0.4904832882	     -308.3653740336	      556.7567842188	      827.9490440357	        0.6702256762	        0.6625792910	     -308.4605188990	     -315.9007855076	        0.0000000000
        0.1576168919	        0.9995686512	        0.7495686512	        9.9956865124	      -74.5108006483	        7.1544431057	        7.1673958759	       34.0146721868	        1.0900388381	        7.5011176120	      104.2841170427	       73.2674604011	        0.2136044654	        2.2091949566	       10.0072456334	      139.1255048766	       97.7461641176	        0.0577995313	        0.2765711124	        7.0324683680	       44.6224722294	       19.1954668783	        1.5056218613	        1.0302740713	        2.7295489825	       -5.4644310572	      147.2433996260	        5.0793077663	      147.1687615501	       -2.5310933916	       -7.2148321446	        1.6873955944	        0.5000613176	     -308.9069422605	      475.1880722185	      715.0189462929	        0.6617446742	        0.6616284547	     -308.9929586611	     -316.3898261404	        0.0000000000
        0.1893544221	        0.9998960749	        0.7498960749	        9.9989607492	      -74.3759493278	        7.1477650646	        7.1743690898	       34.0035338199	        1.0900093542	        7.5013843261	      104.1206149133	       73.4991446044	        0.2447478868	        2.1995009574	       10.0032318837	      138.8467260937	       98.0124407400	        0.0669723048	        0.2747958951	        7.0293978136	       44.6029889238	       19.1778628260	        1.5013234181	        1.0631732114	        2.7282369464	       -5.3976506456	      147.2487268623	        5.0976597788	      147.1483725528	       -2.5216817022	       -7.1875118032	        1.6811211348	        0.5079937973	     -309.2668079027	      403.3090838138	      620.0294187056	        0.5673352942	        0.6606610403	     -309.3456588200	     -316.7130422895	        0.0000000000
