Time,V/V,Vw,Hct,Em,pHi,pHo,MCHC,Density,QNa,QK,QA,QCa,QMg,CNa,CK,CA,CCa2+,CMg2+,CHb,CX,COs,rA,rH,fHb,nHb,MNa,MK,MA,MA,MCat,MCaf,FNaP,FCaP,FKP,FNa,FK,FA,FH,FW,FNaG,FKG,FAG,FHG
 0.0000, 1.0000, 0.7500,10.0000,-11.7323, 7.2092, 7.4000,34.0000, 1.0900, 7.5000,105.0000,71.2500, 0.0006, 2.5000,10.0000,140.0000,95.0000, 0.0001, 0.3253, 7.0284,44.6072,19.1723, 1.5516, 1.5516, 2.7278,-6.0123,50.5048,100.0000,145.8000,145.8000, 0.2000, 0.2000,-2.6085,-0.0300, 1.7390,-0.0000,-0.0000, 0.0000, 0.0000, 0.0000, 0.2608,-0.1739,-0.7825, 0.0000
 0.0004, 1.0000, 0.7500,10.0003,-11.6513, 7.2093, 7.3999,33.9988, 1.0900, 7.5000,105.0000,71.2499, 0.0016, 2.5003, 9.9995,139.9936,94.9955, 0.0003, 0.3253, 7.0281,44.6052,19.1704, 1.5348, 1.5512, 2.7277,-6.0128,50.5050,100.0004,145.8006,145.8006, 0.1999, 0.1999,-3.6169,-7.0504, 2.4113,-2.7267, 2.6634,-15.7600,-388.5347, 4.7842, 0.0825, 0.0194,-1.1008,-0.0000
 0.0266, 1.0017, 0.7517,10.0175,-9.0604, 7.2122, 7.3968,33.9406, 1.0898, 7.4988,105.0050,71.2522, 0.0577, 2.5194, 9.9751,139.6807,94.7818, 0.0135, 0.3300, 7.0121,44.5034,19.0787, 1.5386, 1.5300, 2.7208,-6.0416,50.5148,100.0189,145.8281,145.8281, 0.1937, 0.1937,-3.6196,-12.7084, 2.4131,-2.7331,16.6482,21.8904,-320.6766, 3.2279, 0.0777,13.9941,12.8653,-0.0000
 0.0573, 1.0031, 0.7531,10.0309,-8.9842, 7.2150, 7.3938,33.8954, 1.0897, 7.4974,105.0137,71.2696, 0.1178, 2.5387, 9.9556,139.4445,94.6367, 0.0300, 0.3347, 6.9996,44.4244,19.0077, 1.5411, 1.5095, 2.7155,-6.0698,50.5225,100.0328,145.8478,145.8478, 0.1870, 0.1870,-3.6216,-12.7524, 2.4144,-2.7345,17.2845,44.5814,-263.2376, 2.0970, 0.0776,14.6231,13.4935,-0.0000
 0.0931, 1.0041, 0.7541,10.0409,-8.9499, 7.2176, 7.3910,33.8616, 1.0896, 7.4958,105.0241,71.3025, 0.1807, 2.5577, 9.9402,139.2734,94.5548, 0.0482, 0.3391, 6.9903,44.3655,18.9549, 1.5426, 1.4906, 2.7116,-6.0963,50.5282,100.0427,145.8604,145.8604, 0.1801, 0.1801,-3.6229,-12.7935, 2.4153,-2.7353,17.5999,64.6120,-207.5867, 1.3382, 0.0776,14.9337,13.8037,-0.0000
 0.1351, 1.0048, 0.7548,10.0484,-8.9256, 7.2200, 7.3885,33.8362, 1.0896, 7.4938,105.0365,71.3541, 0.2457, 2.5763, 9.9277,139.1508,94.5288, 0.0673, 0.3434, 6.9834,44.3212,18.9153, 1.5431, 1.4739, 2.7086,-6.1202,50.5327,100.0497,145.8669,145.8669, 0.1729, 0.1729,-3.6236,-12.8315, 2.4158,-2.7357,17.7747,81.7467,-154.9489, 0.8737, 0.0775,15.1059,13.9756,-0.0000
 0.1848, 1.0054, 0.7554,10.0544,-8.9071, 7.2221, 7.3864,33.8159, 1.0895, 7.4916,105.0513,71.4280, 0.3122, 2.5942, 9.9168,139.0591,94.5511, 0.0870, 0.3474, 6.9778,44.2858,18.8836, 1.5427, 1.4598, 2.7063,-6.1406,50.5363,100.0548,145.8684,145.8684, 0.1655, 0.1655,-3.6238,-12.8662, 2.4159,-2.7357,17.8439,95.5385,-106.5014, 0.6217, 0.0775,15.1742,14.0438,-0.0000
 0.2443, 1.0060, 0.7560,10.0599,-8.8911, 7.2236, 7.3847,33.7975, 1.0895, 7.4889,105.0690,71.5283, 0.3792, 2.6113, 9.9060,138.9816,94.6152, 0.1069, 0.3513, 6.9727,44.2536,18.8550, 1.5417, 1.4490, 2.7041,-6.1563,50.5397,100.0589,145.8662,145.8662, 0.1581, 0.1581,-3.6235,-12.8974, 2.4157,-2.7353,17.8360,105.4601,-63.4818, 0.5052, 0.0775,15.1666,14.0363,-0.0000
 0.3168, 1.0066, 0.7566,10.0657,-8.8746, 7.2246, 7.3836,33.7781, 1.0894, 7.4856,105.0905,71.6596, 0.4459, 2.6277, 9.8941,138.9040,94.7165, 0.1268, 0.3551, 6.9674,44.2199,18.8248, 1.5400, 1.4420, 2.7018,-6.1664,50.5433,100.0630,145.8609,145.8609, 0.1507, 0.1507,-3.6229,-12.9252, 2.4152,-2.7346,17.7735,110.9032,-27.2064, 0.4602, 0.0775,15.1053,13.9752,-0.0000
 0.4068, 1.0072, 0.7572,10.0724,-8.8557, 7.2250, 7.3832,33.7555, 1.0894, 7.4815,105.1171,71.8269, 0.5110, 2.6438, 9.8799,138.8155,94.8532, 0.1462, 0.3588, 6.9612,44.1805,18.7898, 1.5377, 1.4396, 2.6992,-6.1697,50.5476,100.0675,145.8533,145.8533, 0.1434, 0.1434,-3.6219,-12.9497, 2.4146,-2.7336,17.6711,111.2152, 0.9757, 0.4401, 0.0775,15.0049,13.8751,-0.0000
