Alternative Name,Parameter/Variable Name,Default Value,Units,Description,Allowed Values
CVF,CVF,0.00001,,Cell Volume Fraction (Haematocrit/100),
MB,MB,10,mM,Medium HEPES concentration,
pHo,pHo,7.4,,Medium pH,
Na x Glucamine,Na x Glucamine,0,mM,Isosmotic exchange of Na for impermeant cation,
A x Gluconate,A x Gluconate,0,mM,Isosmotic exchange of A for impermeant anion,
Replace NaCl with KCl,Replace NaCl with KCl,0,mM,Isosmotic exchange of KCl for NaCl,
Replace KCl with NaCl,Replace KCl with NaCl,0,mM,Isosmotic exchange of NaCl for KCl,
NaCl add/remove,NaCl add/remove,0,mM,Add/remove NaCl with 2x osmolarity change,
KCl add/remove,KCl add/remove,0,mM,Add/remove KCl with 2x osmolarity change,
Sucrose add/remove,Sucrose add/remove,0,mM,IAdd/remove sucrose with 1x osmolarity change,
MMg,MMg,0.2,mM,Medium total Mg concentration,
MCa,MCa,1,mM,Medium total Ca concentration,
EDGTA 0; G(1); D(2),EDGTA 0; G(1); D(2),0,,Add Ca/Mg chelator. G = EGTA; D = EDTA ,"0,1,2"
MEDGTA,MEDGTA,0,mM,Medium chelator concentration,
