display name,code name,default value,units,description,allowed values
Haemoglobin (A or S),hb-choice,A,,Choose between A (normal Hb) and S (sickle cell Hb) ,"A,S"
Na/K pump Na efflux,na-efflux-fwd,-3.2,mmol/Loch,Sodium efflux through the Na/K pump at 37C,
[Na]i,cna-conc,10,mmol/Locw,Intracellular sodium concentration,
[K]i,ck-conc,140,mmol/Locw,Intracellular potassium concentration,
[A]i,cla-conc,95,mmol/Locw,Intracellular concentration of diffusible anion (Cl-+HCO3-),
MCHC,hb-content,34,g/dL,Mean cell Haemoglobin Concentration,
PMCA Fmax,vmax-cap,12,mmol/Loch,Ca2+ saturated efflux through the calcium pump,
PCaG,pmax-pcag,0.05,1/h,Passive Goldmanian Ca permeability,
PKGardosMax,ca2+-pkmax,30,1/h,Maximal Goldmanian K permeability through the KCNN channel,
KCa(Gardos channel),ca2+-pkca,0.01,mM,K(1/2) of Ca activation of the KCNN channel,
Cell water content,cell-water,0.67,L/Loc,Water content of the RS cell,
Q10 active,Q10 active,4,,Q10 of active transport,
Q10 passive,Q10 passive,2,,Q10 of passive transport,
NaCl,NaCl,145,,,
KCl,KCl,5,,,
